Date,Accident Location,Latitude,Longitude
2020-08-19 00:00:00,Kikvad,N21° 06' 33.12'',E73° 07' 28.78''
2020-08-21 00:00:00,Bhatpor,N21° 09' 48.73'',E73° 33' 3.03''
2020-08-23 00:00:00,ONGC Colony,N21° 10' 42.86'',E73° 36' 25.03''
2020-08-23 00:00:00,Mandal,N21° 07' 13.87'',E72° 48' 10.29''
2020-08-25 00:00:00,Bhatpor,N21° 09' 49.78'',E73° 33' 6.31''
2020-08-25 00:00:00,Pokhran,N21° 08' 12.79'',E72° 45' 8.98''
2020-08-25 00:00:00,Kikakui,N21° 07' 13.03'',E72° 47' 49.54''
2020-08-28 00:00:00,Bhatpor,N21° 10' 9.95'',E73° 34' 29.79''
2020-08-28 00:00:00,Magdalla,N21° 09' 32.23'',E73° 32' 23.51''
2020-08-28 00:00:00,Aaffva,N21° 06' 35.59'',E73° 08' 3.26''
2020-08-30 00:00:00,Bhadbhunja,N21° 08' 15.46'',E72° 39' 11.72''
2020-08-31 00:00:00,Kawas,N21° 11' 1.84'',E73° 35' 33.71''
2020-09-01 00:00:00,Doswada,N21° 07' 18.79'',E72° 46' 35.3''
2020-09-05 00:00:00,Jiav,N21° 07' 40.89'',E73° 26' 15.22''
2020-09-10 00:00:00,Kikakui,N21° 07' 11.63'',E72° 47' 20.83''
2020-09-13 00:00:00,Bhatpor,N21° 10' 46.69'',E73° 34' 52.04''
2020-09-13 00:00:00,Hazira,N21° 09' 41.33'',E73° 42' 26''
2020-09-13 00:00:00,Vanz,N21° 07' 34.4'',E73° 22' 37.7''
2020-09-15 00:00:00,Sachin,N21° 07' 33.42'',E73° 24' 32.04''
2020-09-15 00:00:00,Kawas,N21° 11' 1.84'',E73° 35' 33.71''
2020-09-16 00:00:00,Borkhadi,N21° 05' 11.88'',E72° 58' 51.32''
2020-09-17 00:00:00,Bhimrad,N21° 07' 53.78'',E73° 28' 7.14''
2020-09-18 00:00:00,Bardoli,N21° 06' 20.25'',E73° 10' 19.55''
2020-09-23 00:00:00,Chorvad ,N21° 07' 7.01'',E72° 49' 0.78''
2020-09-24 00:00:00,Songadh,N21° 10' 6.41'',E72° 44' 3.17''
2020-09-25 00:00:00,Hazira,N21° 10' 0.64'',E73° 40' 36.47''
2020-09-25 00:00:00,Sachin,N21° 07' 33.85'',E73° 24' 18.18''
2020-09-26 00:00:00,Tadkuva,N21° 06' 7.67'',E72° 51' 44.72''
2020-09-26 00:00:00,Tadkuva,N21° 05' 46.8'',E72° 53' 4.22''
2020-09-30 00:00:00,Mandal,N21° 07' 13.83'',E72° 48' 3.37''
2020-10-03 00:00:00,Etadva,N21° 05' 56.82'',E73° 19' 26.18''
2020-10-06 00:00:00,Sonarpada,N21° 08' 47.68'',E72° 44' 44.17''
2020-10-07 00:00:00,Doswada,N21° 07' 21.46'',E72° 46' 30.95''
2020-10-07 00:00:00,Bhatia,N21° 06' 55'',E73° 21' 21.45''
2020-10-08 00:00:00,Vanz,N21° 07' 34.21'',E73° 23' 8.89''
2020-10-08 00:00:00,Bhatia,N21° 06' 57.83'',E73° 21' 23.14''
2020-10-11 00:00:00,Aafva,N21° 06' 34.57'',E73° 07' 39.05''
2020-10-11 00:00:00,Mandal,N21° 07' 13.81'',E72° 48' 13.76''
2020-10-13 00:00:00,Budia,N21° 07' 43.54'',E73° 26' 42.73''
2020-10-13 00:00:00,Katgadh,N21° 06' 16.41'',E72° 51' 18.25''
2020-10-15 00:00:00,Tichakpura,N21° 05' 6.03'',E72° 56' 24.98''
2020-10-15 00:00:00,Katgadh,N21° 06' 27.15'',E72° 50' 49.64''
2020-10-16 00:00:00,Vanz,N21° 07' 34.39'',E73° 22' 39.43''
2020-10-18 00:00:00,Tichakpura,N21° 05' 6.56'',E72° 56' 30.14''
2020-10-18 00:00:00,Tadkuva,N21° 05' 49.49'',E72° 52' 27.64''
2020-10-23 00:00:00,Bhatpor,N21° 09' 58.87'',E73° 33' 53.49''
2020-10-24 00:00:00,Bhatia,N21° 07' 6.29'',E73° 21' 28.32''
2020-10-24 00:00:00,Bhatpor,N21° 09' 59.29'',E73° 34' 7.27''
2020-11-08 00:00:00,Magdalla,N21° 09' 35.89'',E73° 32' 31.25''
2020-11-09 00:00:00,Chorvad,N21° 07' 4.95'',E72° 49' 5.49''
2020-11-09 00:00:00,Vanz,N21° 07' 34.3'',E73° 22' 55.02''
2020-11-11 00:00:00,Vanz,N21° 07' 34.25'',E73° 23' 1.95''
2020-11-13 00:00:00,Doswada,N21° 07' 45.87'',E72° 45' 50.02''
2020-11-15 00:00:00,Bajipura,N21° 05' 31.87'',E73° 00' 51.95''
2020-11-16 00:00:00,Vanesa,N21° 06' 5.47'',E73° 13' 29.02''
2020-11-19 00:00:00,Manekpor,N21° 06' 16.3'',E73° 17' 6.92''
2020-11-20 00:00:00,Virpur,N21° 06' 43.22'',E72° 49' 49.88''
2020-11-24 00:00:00,Bhimrad,N21° 08' 9.17'',E73° 28' 52.8''
2020-11-28 00:00:00,Bardoli,N21° 06' 30.08'',E73° 10' 56.13''
2020-12-02 00:00:00,Doswada,N21° 07' 46.72'',E72° 45' 48.55''
2020-12-02 00:00:00,Kikakui,N21° 07' 11.41'',E72° 47' 14.94''
2020-12-09 00:00:00,Tadkuva,N21° 05' 54.92'',E72° 52' 16.26''
2020-12-13 00:00:00,Songadh,N21° 08' 53.28'',E72° 44' 40.66''
2020-12-13 00:00:00,Abhava,N21° 08' 52.13'',E73° 31' 10.37''
2020-12-16 00:00:00,Hazira,N21° 09' 58.14'',E73° 40' 8.87''
2020-12-19 00:00:00,Katgadh,N21° 06' 16.31'',E72° 51' 18.59''
2020-12-22 00:00:00,Kawas,N21° 10' 41.5'',E73° 36' 28.18''
2020-12-23 00:00:00,Khusalpura,N21° 05' 22.09'',E72° 54' 10.42''
2020-12-25 00:00:00,Chorvad,N21° 07' 0.66'',E72° 49' 14.82''
2020-12-26 00:00:00,Pokharan,N21° 08' 11.76'',E72° 45' 10.33''
2020-12-28 00:00:00,Bhatia,N21° 06' 36.5'',E73° 21' 10.55''
2020-12-29 00:00:00,Sejvad,N21° 06' 5.76'',E73° 04' 48.28''
2020-12-29 00:00:00,Vaanz,N21° 07' 34.41'',E73° 22' 35.96''
