Date,Accident Location,Latitude,Longitude,Latitude_decimal,Longitude_decimal
2020-08-14 00:00:00,Chorvad,N21° 07' 10.17'',E72° 48' 52.8'',21.119492,72.814667
2020-08-15 00:00:00,Songadh,N21° 09' 54.35'',E72° 44' 8.35'',21.165097,72.735653
2020-08-19 00:00:00,Kikvad,N21° 06' 33.12'',E73° 07' 28.78'',21.1092,73.124661
2020-08-21 00:00:00,Bhatpor,N21° 09' 48.73'',E73° 33' 3.03'',21.163536,73.550842
2020-08-23 00:00:00,ONGC Colony,N21° 10' 42.86'',E73° 36' 25.03'',21.178572,73.606953
2020-08-23 00:00:00,Mandal,N21° 07' 13.87'',E72° 48' 10.29'',21.120519,72.802858
2020-08-25 00:00:00,Bhatpor,N21° 09' 49.78'',E73° 33' 6.31'',21.163828,73.551753
2020-08-25 00:00:00,Pokhran,N21° 08' 12.79'',E72° 45' 8.98'',21.136886,72.752494
2020-08-25 00:00:00,Kikakui,N21° 07' 13.03'',E72° 47' 49.54'',21.120286,72.797094
2020-08-28 00:00:00,Bhatpor,N21° 10' 9.95'',E73° 34' 29.79'',21.169431,73.574942
2020-08-28 00:00:00,Magdalla,N21° 09' 32.23'',E73° 32' 23.51'',21.158953,73.539864
2020-08-28 00:00:00,Aaffva,N21° 06' 35.59'',E73° 08' 3.26'',21.109886,73.134239
2020-08-30 00:00:00,Bhadbhunja,N21° 08' 15.46'',E72° 39' 11.72'',21.137628,72.653256
2020-08-31 00:00:00,Kawas,N21° 11' 1.84'',E73° 35' 33.71'',21.183844,73.592697
2020-09-01 00:00:00,Doswada,N21° 07' 18.79'',E72° 46' 35.3'',21.121886,72.776472
2020-09-05 00:00:00,Jiav,N21° 07' 40.89'',E73° 26' 15.22'',21.128025,73.437561
2020-09-10 00:00:00,Kikakui,N21° 07' 11.63'',E72° 47' 20.83'',21.119897,72.789119
2020-09-13 00:00:00,Bhatpor,N21° 10' 46.69'',E73° 34' 52.04'',21.179636,73.581122
2020-09-13 00:00:00,Hazira,N21° 09' 41.33'',E73° 42' 26'',21.161481,73.707222
2020-09-13 00:00:00,Vanz,N21° 07' 34.4'',E73° 22' 37.7'',21.126222,73.377139
2020-09-15 00:00:00,Sachin,N21° 07' 33.42'',E73° 24' 32.04'',21.12595,73.4089
2020-09-15 00:00:00,Kawas,N21° 11' 1.84'',E73° 35' 33.71'',21.183844,73.592697
2020-09-16 00:00:00,Borkhadi,N21° 05' 11.88'',E72° 58' 51.32'',21.086633,72.980922
2020-09-17 00:00:00,Bhimrad,N21° 07' 53.78'',E73° 28' 7.14'',21.131606,73.46865
2020-09-18 00:00:00,Bardoli,N21° 06' 20.25'',E73° 10' 19.55'',21.105625,73.172097
2020-09-23 00:00:00,Chorvad ,N21° 07' 7.01'',E72° 49' 0.78'',21.118614,72.816883
2020-09-24 00:00:00,Songadh,N21° 10' 6.41'',E72° 44' 3.17'',21.168447,72.734214
2020-09-25 00:00:00,Hazira,N21° 10' 0.64'',E73° 40' 36.47'',21.166844,73.676797
2020-09-25 00:00:00,Sachin,N21° 07' 33.85'',E73° 24' 18.18'',21.126069,73.40505
2020-09-26 00:00:00,Tadkuva,N21° 06' 7.67'',E72° 51' 44.72'',21.102131,72.862422
2020-09-26 00:00:00,Tadkuva,N21° 05' 46.8'',E72° 53' 4.22'',21.096333,72.884506
2020-09-30 00:00:00,Mandal,N21° 07' 13.83'',E72° 48' 3.37'',21.120508,72.800936
2020-10-03 00:00:00,Etadva,N21° 05' 56.82'',E73° 19' 26.18'',21.099117,73.323939
2020-10-06 00:00:00,Sonarpada,N21° 08' 47.68'',E72° 44' 44.17'',21.146578,72.745603
2020-10-07 00:00:00,Doswada,N21° 07' 21.46'',E72° 46' 30.95'',21.122628,72.775264
2020-10-07 00:00:00,Bhatia,N21° 06' 55'',E73° 21' 21.45'',21.115278,73.355958
2020-10-08 00:00:00,Vanz,N21° 07' 34.21'',E73° 23' 8.89'',21.126169,73.385803
2020-10-08 00:00:00,Bhatia,N21° 06' 57.83'',E73° 21' 23.14'',21.116064,73.356428
2020-10-11 00:00:00,Aafva,N21° 06' 34.57'',E73° 07' 39.05'',21.109603,73.127514
2020-10-11 00:00:00,Mandal,N21° 07' 13.81'',E72° 48' 13.76'',21.120503,72.803822
2020-10-13 00:00:00,Budia,N21° 07' 43.54'',E73° 26' 42.73'',21.128761,73.445203
2020-10-13 00:00:00,Katgadh,N21° 06' 16.41'',E72° 51' 18.25'',21.104558,72.855069
2020-10-15 00:00:00,Tichakpura,N21° 05' 6.03'',E72° 56' 24.98'',21.085008,72.940272
2020-10-15 00:00:00,Katgadh,N21° 06' 27.15'',E72° 50' 49.64'',21.107542,72.847122
2020-10-16 00:00:00,Vanz,N21° 07' 34.39'',E73° 22' 39.43'',21.126219,73.377619
2020-10-18 00:00:00,Tichakpura,N21° 05' 6.56'',E72° 56' 30.14'',21.085156,72.941706
2020-10-18 00:00:00,Tadkuva,N21° 05' 49.49'',E72° 52' 27.64'',21.097081,72.874344
2020-10-23 00:00:00,Bhatpor,N21° 09' 58.87'',E73° 33' 53.49'',21.166353,73.564858
2020-10-24 00:00:00,Bhatia,N21° 07' 6.29'',E73° 21' 28.32'',21.118414,73.357867
2020-10-24 00:00:00,Bhatpor,N21° 09' 59.29'',E73° 34' 7.27'',21.166469,73.568686
2020-11-08 00:00:00,Magdalla,N21° 09' 35.89'',E73° 32' 31.25'',21.159969,73.542014
2020-11-09 00:00:00,Chorvad,N21° 07' 4.95'',E72° 49' 5.49'',21.118042,72.818192
2020-11-09 00:00:00,Vanz,N21° 07' 34.3'',E73° 22' 55.02'',21.126194,73.38195
2020-11-11 00:00:00,Vanz,N21° 07' 34.25'',E73° 23' 1.95'',21.126181,73.383875
