SRNO,Accident_Location,Latitude,Longitude
115.0,Kawas,21.1808,73.118083
116.0,Ghabheni,21.126997,73.116206
117.0,Vanz,21.126164,73.116206
118.0,Vanz,21.126225,73.103747
119.0,Bhimrad,21.135278,73.071417
120.0,Hazira,21.164786,73.067086
121.0,Bardoli,21.103958,73.060725
122.0,Kawas,21.182167,73.054322
123.0,Tadkuva,21.097478,73.014431
124.0,Tadkuva,21.120219,72.961306
125.0,Bardoli,21.107178,72.952192
126.0,Bhatpore,21.164111,72.919867
127.0,Vanz,21.126217,72.918919
128.0,Vanz,21.126136,72.917019
129.0,Budia,21.128383,72.883011
130.0,Bardoli,21.107325,72.877394
131.0,Abhva,21.149439,72.875494
132.0,Taraj,21.099844,72.871517
133.0,Pokhran,21.136317,72.860606
134.0,Abhva,21.142064,72.855164
135.0,Doswada,21.128231,72.837533
136.0,Vanz,21.126169,72.837533
137.0,Khushalpura,21.091478,72.837061
138.0,Doswada,21.129881,72.837061
139.0,Kawas,21.182336,72.836125
140.0,Maypur,21.085925,72.831456
141.0,Vanz,21.125094,72.830058
142.0,Sachin,21.126058,72.823792
143.0,Virpur,21.110494,72.818625
144.0,Kikakui,21.119897,72.814667
145.0,Bardoli,21.106186,72.814667
146.0,Palsana,21.097167,72.804783
147.0,Magdalla,21.157933,72.803436
148.0,Gabheni,21.126264,72.803436
149.0,Vanesa,21.104175,72.803244
150.0,Vanz,21.126239,72.800936
151.0,Aafva,21.109081,72.796133
152.0,Mandal,21.120508,72.792292
153.0,Bhatia,21.102975,72.789408
154.0,Bhatia,21.110139,72.789408
155.0,Mandal,21.1205,72.789119
156.0,Taraj,21.0998,72.789119
157.0,Mandal,21.120508,72.785561
158.0,Virpur,21.110703,72.782194
159.0,Taraj,21.099892,72.776875
160.0,Manekpor,21.103019,72.776069
161.0,Kikwad,21.107833,72.772856
162.0,Kikakui,21.122133,72.765947
163.0,Hazira,21.166003,72.765128
164.0,Bhatia,21.11765,72.764717
165.0,Kikakui,21.119767,72.763486
166.0,Sachin,21.126061,72.763075
167.0,Doswada,21.121639,72.756178
168.0,Juni kikwad,21.104156,72.753242
169.0,Bhatpore,21.164033,72.751753
170.0,Mandal,21.1205,72.727117
171.0,Chorvad,21.117847,72.710678
172.0,Chorvad,21.119492,72.708856
173.0,Nandeda,21.106631,72.707169
174.0,Sonagdh RTO,21.182217,72.683175
175.0,Vanz,21.126222,72.654397
176.0,Manekpor,21.102289,72.653256
177.0,Ena,21.096942,72.646989
178.0,Kikakui,21.119908,72.631611
179.0,Kawas,21.174778,72.629792
1.0,Virpur,21.112125,72.830058
2.0,Virpur,21.110594,72.836592
3.0,Songadh,21.159736,72.738186
4.0,Bhatpore,21.163536,73.550842
5.0,Hazira,21.165967,73.66625
6.0,Mandal,21.120606,72.809592
7.0,Bardoli,21.103958,73.167631
8.0,Tadkuva,21.102725,72.860606
9.0,Virpur,21.112822,72.828289
10.0,Mirkot,21.180264,72.687975
11.0,Afava,21.109192,73.147692
12.0,Chorvad,21.120014,72.813333
13.0,Budia,21.129639,73.453061
14.0,Bajipura,21.085606,72.969464
15.0,Mora,21.172281,73.620781
16.0,Malekpore,21.104144,73.286125
17.0,Virpur,21.114069,72.826283
18.0,Manekpore,21.100536,73.044267
19.0,Budia,21.128361,73.449028
20.0,Taraj,21.0998,73.335942
21.0,Songadh,21.159247,72.738439
22.0,Taraj,21.099892,73.3369
23.0,Bardoli,21.106328,73.174386
24.0,Nandida,21.106503,73.196436
25.0,Manekpore,21.103961,73.057125
26.0,Khajod,21.138453,73.490536
27.0,Vanesa,21.105806,73.201675
28.0,Songadh,21.159328,72.738397
29.0,Virpur,21.111356,72.833322
30.0,Khajod,21.134503,73.477258
